nama,lat,lon,wilayah,sumber,alamat_asli
sfroastery,-6.9161264,107.5887671,Kabupaten Bandung,cafe,"sfroastery, Jalan Rajawali Timur, Ciroyom, Andir, Kota Bandung, Jawa Barat, Jawa, 40182, Indonesia"
Armor Coffee,-6.8581757,107.6323803,Kabupaten Bandung,cafe,"Armor Coffee, Jalan Bukit Pakar Utara, Ciburial, Kabupaten Bandung, Jawa Barat, Jawa, 40119, Indonesia"
Aviator Coffee Camp,-6.8616646,107.6484767,Kabupaten Bandung,cafe,"Aviator Coffee Camp, 28, Jalan Raya Resort, Mekarsaluyu, Kabupaten Bandung, Jawa Barat, Jawa, 40198, Indonesia"
The People's Cafe,-6.8901174,107.5960789,Kabupaten Bandung,cafe,"The People's Cafe, Jalan Sukaresik 1, Cipedes, Sukasari, Kota Bandung, Jawa Barat, Jawa, 40161, Indonesia"
Starbucks Reserve,-6.8901104,107.5965612,Kabupaten Bandung,cafe,"Starbucks Reserve, Jalan Sukajadi, Cipedes, Sukasari, Kota Bandung, Jawa Barat, Jawa, 40161, Indonesia"
Djournál,-6.8901004,107.5961777,Kabupaten Bandung,cafe,"Djournál, B55, Jalan Sukajadi, Cipedes, Sukasari, Kota Bandung, Jawa Barat, Jawa, 40161, Indonesia"
Caribou Coffee,-6.8886602,107.5960294,Kabupaten Bandung,cafe,"Caribou Coffee, B-69, Jalan Sukajadi, Cipedes, Sukasari, Kota Bandung, Jawa Barat, Jawa, 40161, Indonesia"
Black Canyon,-6.8885606,107.5960266,Kabupaten Bandung,cafe,"Black Canyon, Jalan Sukajadi, Cipedes, Sukasari, Kota Bandung, Jawa Barat, Jawa, 40161, Indonesia"
Halaman,-6.8889259,107.5960428,Kabupaten Bandung,cafe,"Halaman, Jalan Sukajadi, Cipedes, Sukasari, Kota Bandung, Jawa Barat, Jawa, 40161, Indonesia"
Rose Bread,-6.961599,107.6246951,Kabupaten Bandung,cafe,"Rose Bread, Jalan Batununggal Indah II, Batununggal Indah, Mengger, Bandung Kidul, Kota Bandung, Jawa, 40258, Indonesia"
Jifast The Power Of Durian,-6.9157346,107.6304829,Kabupaten Bandung,cafe,"Jifast The Power Of Durian, Jalan Jenderal Ahmad Yani, Kacapiring, Batununggal, Kota Bandung, Jawa, 40271, Indonesia"
Tanpa Nama,-7.2155209,107.8993965,Kabupaten Bandung,cafe,"Cafe Cimoney, Jalan Cimanuk, Paminggir, Garut Kota, Paminggir, Garut, Jawa Barat, Jawa, 44117, Indonesia"
Starbucks,-6.8733449,107.6050402,Kabupaten Bandung,cafe,"Starbucks, Jalan Ciumbuleuit, Cisitu Dalam, Ciumbuleuit, Cidadap, Kota Bandung, Jawa Barat, Jawa, 40141, Indonesia"
Tanpa Nama,-7.2155298,107.9043943,Kabupaten Bandung,cafe,"Nobar Tempat Ublag GARUT, Jalan Veteran, Pakuwon, Garut Kota, Pakuwon, Garut, Jawa Barat, Jawa, 44117, Indonesia"
Starbucks,-6.9064912,107.6170456,Kabupaten Bandung,cafe,"Starbucks, Jalan Banda, Citarum, Bandung Wetan, Kota Bandung, Jawa, 40113, Indonesia"
Kupansa,-7.1998568,107.8856731,Kabupaten Bandung,cafe,"Kupansa, Jalan Patriot, Sukagalih, Tarogong Kidul, Garut, Jawa Barat, Jawa, 44151, Indonesia"
Tanpa Nama,-7.1998035,107.8871582,Kabupaten Bandung,cafe,"Jalan Kolonel Taufik Hidayat, Sukagalih, Tarogong Kidul, Garut, Jawa Barat, Jawa, 44151, Indonesia"
Cafe Latanza,-7.199933,107.885596,Kabupaten Bandung,cafe,"Cafe Latanza, Jalan Patriot, Sukagalih, Tarogong Kidul, Garut, Jawa Barat, Jawa, 44151, Indonesia"
Tanpa Nama,-7.2195663,107.900549,Kabupaten Bandung,cafe,"Jalan Papandayan, Paminggir, Garut Kota, Regol, Garut, Jawa Barat, Jawa, 44117, Indonesia"
Coffee Time IPO,-7.2156785,107.9055211,Kabupaten Bandung,cafe,"Coffee Time IPO, Jalan Jenderal Ahmad Yani, Pakuwon, Garut Kota, Ciwalen, Garut, Jawa Barat, Jawa, 44117, Indonesia"
Tanpa Nama,-7.3028675,107.7599105,Kabupaten Bandung,cafe,"Jalan Garut - Kawah Papandayan, Sirnajaya, Cisurupan, Garut, Jawa, 44163, Indonesia"
Keday Binong,-7.3118451,107.7824828,Kabupaten Bandung,cafe,"Keday Binong, Jalan Garut - Kawah Papandayan, Cisurupan, Garut, Jawa, 44163, Indonesia"
Coffee Time,-6.93908,107.7458969,Kabupaten Bandung,cafe,"Coffee Time, Jalan Raya Cileunyi, Bumi Cileunyi Asri, Cileunyi Kulon, Cileunyi, Kabupaten Bandung, Jawa, 40622, Indonesia"
La petite corner,-6.9296717,107.6035086,Kabupaten Bandung,cafe,"La petite corner, 453, Jalan Otto Iskandardinata, Pungkur, Regol, Kota Bandung, Jawa Barat, Jawa, 40252, Indonesia"
Kopi Toko Djawa,-6.9174934,107.6092599,Kabupaten Bandung,cafe,"Kopi Toko Djawa, 11, Jalan Braga, Braga, Sumur Bandung, Kota Bandung, Jawa Barat, Jawa, 40111, Indonesia"
Art,-6.9171923,107.6093407,Kabupaten Bandung,cafe,"Art, Jalan Braga, Braga, Sumur Bandung, Kota Bandung, Jawa Barat, Jawa, 40111, Indonesia"
Chatime,-6.9169517,107.6089282,Kabupaten Bandung,cafe,"Chatime, Jalan Braga, Braga, Sumur Bandung, Kota Bandung, Jawa Barat, Jawa, 40111, Indonesia"
J.Co,-6.9144264,107.6966851,Kabupaten Bandung,coffee_shop,"J.Co, Jalan Abdul Haris Nasution, Pakemitan, Cinambo, Kota Bandung, Jawa, 45474, Indonesia"
Warnet Nur,-6.9165534,107.5889526,Kabupaten Bandung,cafe,"Warnet Nur, Jalan Rajawali Timur, Ciroyom, Andir, Kota Bandung, Jawa Barat, Jawa, 40182, Indonesia"
Cafe Bali,-6.9136103,107.6292534,Kabupaten Bandung,cafe,"Cafe Bali, Jalan L.L. RE. Martadinata, Cihapit, Bandung Wetan, Kota Bandung, Jawa, 40121, Indonesia"
Gajua Kopi,-6.9018765,107.60974,Kabupaten Bandung,cafe,"Gajua Kopi, 7, Jalan Saung Galing, Tamansari, Bandung Wetan, Kota Bandung, Jawa, 40116, Indonesia"
Tiga Outdoor Cafe,-6.8949433,107.6162456,Kabupaten Bandung,cafe,"Tiga Outdoor Cafe, Jalan Hasanudin, Lebak Gede, Coblong, Kota Bandung, Jawa Barat, Jawa, 40132, Indonesia"
Kopi Siologi,-6.8868433,107.6266658,Kabupaten Bandung,cafe,"Kopi Siologi, Jalan Cibeunying Kolot I, Cigadung, Cibeunying Kaler, Kota Bandung, Jawa Barat, Jawa, 40133, Indonesia"
The Valley,-6.8629017,107.6301376,Kabupaten Bandung,cafe,"The Valley, Jalan Lembah Pakar Timur, Ciburial, Kabupaten Bandung, Jawa Barat, Jawa, 40119, Indonesia"
Kebon Awi,-6.8615968,107.6321809,Kabupaten Bandung,cafe,"Kebon Awi, Jalan Bukit Pakar Tmur, Ciburial, Kabupaten Bandung, Jawa Barat, Jawa, 40119, Indonesia"
Fashion Pasta,-6.8586541,107.6373118,Kabupaten Bandung,cafe,"Fashion Pasta, Jalan Bukit Pakar Tmur, Ciburial, Kabupaten Bandung, Jawa Barat, Jawa, 40119, Indonesia"
Lisung,-6.8588451,107.6374225,Kabupaten Bandung,cafe,"Lisung, Jalan Bukit Pakar Tmur, Ciburial, Kabupaten Bandung, Jawa Barat, Jawa, 40119, Indonesia"
